•咪咕「TV」,#genre#
時尚運動X,https://tv.iill.top/litv/4gtv-4gtv014
智林體育,https://tv.iill.top/litv/4gtv-4gtv101
東森新聞,https://tv.iill.top/litv/4gtv-4gtv152
東森財經,https://tv.iill.top/litv/4gtv-4gtv153
TVBS,https://tv.iill.top/litv/4gtv-4gtv073
TVBS 新聞,https://tv.iill.top/litv/4gtv-4gtv072
TVBS 歡樂,https://tv.iill.top/litv/4gtv-4gtv068
TVBS 精采,https://tv.iill.top/litv/4gtv-4gtv067
TVBS 綜藝,https://tv.iill.top/4gtv/4gtv-live087
TVBS 台劇,https://tv.iill.top/4gtv/4gtv-live088
中天亞洲,https://tv.iill.top/litv/4gtv-4gtv109
中天新聞,https://tv.iill.top/litv/4gtv-4gtv009
中視,https://tv.iill.top/litv/4gtv-4gtv040
中視新聞,https://tv.iill.top/litv/4gtv-4gtv074
中視經典,https://tv.iill.top/litv/4gtv-4gtv080
中視菁采,https://tv.iill.top/litv/4gtv-4gtv064
靖天國際,https://tv.iill.top/litv/4gtv-4gtv063
靖天映畫,https://tv.iill.top/litv/4gtv-4gtv055
靖天戲劇,https://tv.iill.top/litv/4gtv-4gtv058
靖天日本,https://tv.iill.top/litv/4gtv-4gtv047
靖天歡樂,https://tv.iill.top/litv/4gtv-4gtv054
靖天綜合,https://tv.iill.top/litv/4gtv-4gtv046
靖天育樂,https://tv.iill.top/litv/4gtv-4gtv062
靖天資訊,https://tv.iill.top/litv/4gtv-4gtv065
靖天電影,https://tv.iill.top/litv/4gtv-4gtv061
靖天卡通,https://tv.iill.top/litv/4gtv-4gtv044
靖洋卡通,https://tv.iill.top/litv/4gtv-4gtv057
靖洋戲劇,https://tv.iill.top/litv/4gtv-4gtv045
龍華偶像,https://tv.iill.top/litv/litv-longturn12
龍華卡通,https://tv.iill.top/litv/litv-longturn01
龍華戲劇,https://tv.iill.top/litv/litv-longturn18
龍華日韓,https://tv.iill.top/litv/litv-longturn11
龍華洋片,https://tv.iill.top/litv/litv-longturn02
龍華經典,https://tv.iill.top/litv/litv-longturn21
龍華電影,https://tv.iill.top/litv/litv-longturn03
八大精彩,https://tv.iill.top/litv/4gtv-4gtv034
八大綜藝,https://tv.iill.top/litv/4gtv-4gtv039
台視,https://tv.iill.top/litv/4gtv-4gtv066
台視新聞,https://tv.iill.top/litv/4gtv-4gtv051
台視財經,https://tv.iill.top/litv/4gtv-4gtv056
公視戲劇,https://tv.iill.top/litv/4gtv-4gtv042
台灣戲劇,https://tv.iill.top/litv/litv-longturn22
寰宇新聞,https://tv.iill.top/litv/litv-longturn14
寰宇新聞台灣,https://tv.iill.top/litv/4gtv-4gtv156
寰宇財經,https://tv.iill.top/litv/4gtv-4gtv158
華視,https://tv.iill.top/litv/4gtv-4gtv041
華視新聞,https://tv.iill.top/litv/4gtv-4gtv052
民視,https://tv.iill.top/litv/4gtv-4gtv002
民視台灣,https://tv.iill.top/litv/4gtv-4gtv001
民視影劇,https://tv.iill.top/litv/litv-ftv09
民視新聞,https://tv.iill.top/litv/litv-ftv13
民視旅遊,https://tv.iill.top/litv/litv-ftv07
民視第一,https://tv.iill.top/litv/4gtv-4gtv003
民視綜藝,https://tv.iill.top/litv/4gtv-4gtv004
三立綜合,https://tv.iill.top/4gtv/4gtv-live207
三立新聞iNEWS,https://tv.iill.top/4gtv/4gtv-live089
愛爾達娛樂,https://tv.iill.top/litv/4gtv-4gtv070
愛爾達生活旅遊,https://tv.iill.top/4gtv/4gtv-live120
亞洲旅遊,https://tv.iill.top/litv/4gtv-4gtv076
非凡商業,https://tv.iill.top/litv/4gtv-4gtv048
非凡新聞,https://tv.iill.top/litv/4gtv-4gtv010
鏡電視新聞,https://tv.iill.top/litv/4gtv-4gtv075
半島國際新聞,https://tv.iill.top/4gtv/4gtv-live157
DW德國之聲,https://tv.iill.top/4gtv/4gtv-live071
FRANCE24,https://tv.iill.top/4gtv/4gtv-live146
NHK 新聞資訊,https://tv.iill.top/4gtv/4gtv-live168
VOA 美國之音,https://tv.iill.top/litv/litv-ftv03
CNBC Asia 財經,https://tv.iill.top/4gtv/4gtv-live130
SBN 全球財經,https://tv.iill.top/4gtv/4gtv-live060
Bloomberg TV,https://tv.iill.top/4gtv/4gtv-live059
第1商業,https://tv.iill.top/litv/4gtv-4gtv104
AMC 最愛電影,https://tv.iill.top/litv/4gtv-4gtv017
MCE 我的歐洲電影,https://tv.iill.top/litv/litv-ftv10
影迷數位電影,https://tv.iill.top/litv/4gtv-4gtv011
CinemaWorld,https://tv.iill.top/4gtv/4gtv-live069
經典電影,https://tv.iill.top/4gtv/4gtv-live021
Love Nature,https://tv.iill.top/4gtv/4gtv-live208
影迷數位紀實,https://tv.iill.top/litv/litv-ftv15
視納華仁紀實頻道,https://tv.iill.top/litv/4gtv-4gtv013
CI 罪案偵查頻道,https://tv.iill.top/4gtv/4gtv-live027
History 歷史頻道,https://tv.iill.top/4gtv/4gtv-live026
MagellanTV (麥哲倫頻道),https://tv.iill.top/4gtv/4gtv-live123
Rock Action,https://tv.iill.top/4gtv/4gtv-live138
Rock Entertainment,https://tv.iill.top/4gtv/4gtv-live080
Arirang TV,https://tv.iill.top/litv/4gtv-4gtv079
韓國娛樂台 KMTV,https://tv.iill.top/litv/4gtv-4gtv016
Lifetime 娛樂頻道,https://tv.iill.top/4gtv/4gtv-live029
Fun 探索娛樂,https://tv.iill.top/4gtv/4gtv-live011
HITS 頻道,https://tv.iill.top/4gtv/4gtv-live620
豬哥亮歌廳秀,https://tv.iill.top/litv/4gtv-4gtv006
戲劇免費看,https://tv.iill.top/4gtv/4gtv-live010
采昌影劇,https://tv.iill.top/litv/4gtv-4gtv049
Classica 古典樂,https://tv.iill.top/litv/4gtv-4gtv059
Mezzo Live,https://tv.iill.top/litv/4gtv-4gtv083
MTV Live HD 音樂頻道,https://tv.iill.top/4gtv/4gtv-live025
電影原聲 CMusic,https://tv.iill.top/4gtv/4gtv-live031
Trace Urban,https://tv.iill.top/litv/4gtv-4gtv082
Trace Sports,https://tv.iill.top/litv/4gtv-4gtv077
Ginx TV 電競頻道,https://tv.iill.top/litv/4gtv-4gtv053
DreamWorks 夢工廠動畫,https://tv.iill.top/4gtv/4gtv-live017
精選動漫,https://tv.iill.top/4gtv/4gtv-live024
經典卡通,https://tv.iill.top/4gtv/4gtv-live022
MOMO 親子,https://tv.iill.top/4gtv/4gtv-live107
Nick Jr. 兒童頻道,https://tv.iill.top/4gtv/4gtv-live032
Nickelodeon,https://tv.iill.top/4gtv/4gtv-live105
Pet Club TV,https://tv.iill.top/litv/4gtv-4gtv110
LiveABC 互動英語,https://tv.iill.top/4gtv/4gtv-live030
ELTA生活英語,https://tv.iill.top/litv/litv-longturn20
Smart 知識,https://tv.iill.top/litv/litv-longturn19
達文西頻道,https://tv.iill.top/litv/4gtv-4gtv018
滾動力 Rollor,https://tv.iill.top/4gtv/4gtv-live012
INULTRA,https://tv.iill.top/4gtv/4gtv-live096
Global Trekker 探索世界,https://tv.iill.top/4gtv/4gtv-live112
LUXE TV,https://tv.iill.top/4gtv/4gtv-live121
TV5MONDE Style 生活時尚,https://tv.iill.top/4gtv/4gtv-live122
幸福空間居家,https://tv.iill.top/4gtv/4gtv-live206
車迷 TV,https://tv.iill.top/4gtv/4gtv-live201
金光布袋戲,https://tv.iill.top/4gtv/4gtv-live144
霹靂布袋戲,https://tv.iill.top/4gtv/4gtv-live145
原住民族電視,https://tv.iill.top/4gtv/4gtv-live014
客家電視,https://tv.iill.top/litv/4gtv-4gtv043
人間衛視,https://tv.iill.top/4gtv/4gtv-live008
新唐人亞太,https://tv.iill.top/4gtv/4gtv-live050
國會頻道 1,https://tv.iill.top/litv/4gtv-4gtv084
國會頻道 2,https://tv.iill.top/litv/4gtv-4gtv085
大愛電視,https://tv.iill.top/4gtv/4gtv-live007
大愛電視 2,https://tv.iill.top/4gtv/4gtv-live106
好消息,https://tv.iill.top/litv/litv-ftv16
好消息 2,https://tv.iill.top/litv/litv-ftv17
東森購物 一,https://tv.iill.top/4gtv/4gtv-live047
東森購物 二,https://tv.iill.top/4gtv/4gtv-live046
東森購物 三,https://tv.iill.top/4gtv/4gtv-live048
東森購物 四,https://tv.iill.top/4gtv/4gtv-live049
•海外「集合」,#genre#
鳳凰衛視·中文,http://r.jdshipin.com/cCCzW
鳳凰衛視·資訊,http://r.jdshipin.com/0Rp07
鳳凰衛視·香港,http://r.jdshipin.com/yDoTN
翡翠台 4K,https://cdn6.163189.xyz/163189/fct4k
翡翠台,https://mytv.cdn.loc.cc/o12.php?id=fct
明珠台,https://mytv.cdn.loc.cc/o12.php?id=mzt
TVB Plus,http://r.jdshipin.com/ndGgS
無綫新聞台,http://r.jdshipin.com/CkuBd
Now新聞台,https://cdn.163189.xyz/163189/now
Sky Sports F1,http://fortv.cc:8080/clarencekingrh@hotmail.com/pKgSdl4ZFX/35244
Red Bull TV,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8
娛樂新聞台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
TVB 星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
亞洲武俠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
Astro AOD,http://php.jdshipin.com/TVOD/iptv.php?id=aod
Astro AEC,http://php.jdshipin.com/smt.php?id=AEC
Astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia
Astro 欢喜台,http://php.jdshipin.com/smt.php?id=Huahee
iQIYI,http://php.jdshipin.com/smt.php?id=Qiyi
八度空間,http://cdn6.163189.xyz/163189/8tv
Channel 5,http://cdn6.163189.xyz/163189/ch5
Channel 8,http://cdn6.163189.xyz/163189/ch8
Channel U,http://cdn6.163189.xyz/163189/chu
五星体育,https://cdn3.163189.xyz/163189/wxty
第一财经,https://cdn3.163189.xyz/163189/dycj
•地方「特产」,#genre#
广东体育,http://r.jdshipin.com/LiYdg
广东珠江,http://r.jdshipin.com/sE5vO
广州综合,http://i.iill.top:12838/gztv/zhonghe
广州新闻,http://i.iill.top:12838/gztv/xinwen
广州法治,http://i.iill.top:12838/gztv/fazhi
广州南国都市,http://i.iill.top:12838/gztv/shenghuo
东方卫视,http://i.iill.top:12838/sh/dfws
五星体育,http://i.iill.top:12838/sh/wxty
第一财经,http://i.iill.top:12838/sh/dycj
上海新闻综合,http://i.iill.top:12838/sh/xwzh
上海都市频道,http://i.iill.top:12838/sh/dspd
新纪实,http://i.iill.top:12838/sh/xjs
魔都眼,http://i.iill.top:12838/sh/mdy
爱上海,http://i.iill.top:12838/sh/ash
•游戏「赛事」,#genre#
「B站」热门赛事,https://live.iill.top/bilibili/10
「B站」CS 2,https://live.iill.top/bilibili/21622811
「虎牙」CS 2,https://live.iill.top/huya/483917
「B站」英雄联盟,https://live.iill.top/bilibili/6
「虎牙」英雄联盟 𝟙,https://live.iill.top/huya/660000
「虎牙」英雄联盟 𝟚,https://live.iill.top/huya/660001
「斗鱼」英雄联盟 𝟙,https://live.iill.top/douyu/288016
「斗鱼」英雄联盟 𝟚,https://live.iill.top/douyu/424559
「B站」英雄联盟•手游,https://live.iill.top/bilibili/23138275
「B站」王者荣耀 𝟙,https://live.iill.top/bilibili/55
「B站」王者荣耀 𝟚,https://live.iill.top/bilibili/21654762
「虎牙」王者荣耀 𝟙,https://live.iill.top/huya/660002
「虎牙」王者荣耀 𝟚,https://live.iill.top/huya/660164
「斗鱼」王者荣耀 𝟙,https://live.iill.top/douyu/1863767
「斗鱼」王者荣耀 𝟚,https://live.iill.top/douyu/1984839
「B站」绝地求生,https://live.iill.top/bilibili/98
「虎牙」绝地求生 𝟙,https://live.iill.top/huya/660004
「虎牙」绝地求生 𝟚,https://live.iill.top/huya/660005
「斗鱼」绝地求生,https://live.iill.top/douyu/100
「斗鱼」绝地地图,https://live.iill.top/douyu/5818871
「虎牙」和平精英,https://live.iill.top/huya/660006
「斗鱼」和平精英,https://live.iill.top/douyu/999
「虎牙」金铲铲之战,https://live.iill.top/huya/660579
「斗鱼」金铲铲之战,https://live.iill.top/douyu/9715241
「虎牙」DOTA2,https://live.iill.top/huya/660118
「斗鱼」DOTA2,https://live.iill.top/douyu/3811559
「斗鱼」云顶之弈,https://live.iill.top/douyu/522423
「虎牙」永劫无间,https://live.iill.top/huya/660115
「斗鱼」永劫无间,https://live.iill.top/huya/9662891
「B站」使命召唤•手游,https://live.iill.top/bilibili/22741849
「虎牙」使命召唤•手游,https://live.iill.top/huya/11718629
「斗鱼」使命召唤•手游,https://live.iill.top/douyu/9223245
「虎牙」穿越火线,https://live.iill.top/huya/660101
「斗鱼」穿越火线 𝟙,https://live.iill.top/douyu/605964
「斗鱼」穿越火线 𝟚,https://live.iill.top/douyu/5388537
「虎牙」穿越火线•手游,https://live.iill.top/huya/660102
「B站」第五人格,https://live.iill.top/bilibili/5555
「虎牙」第五人格,https://live.iill.top/huya/idvesports
「斗鱼」第五人格,https://live.iill.top/douyu/3226194
「虎牙」逆战,https://live.iill.top/huya/nsl2021
「B站」无畏契约,https://live.iill.top/bilibili/22908869
「虎牙」无畏契约,https://live.iill.top/huya/660679
「斗鱼」无畏契约,https://live.iill.top/douyu/4585645
「斗鱼」原神,https://live.iill.top/douyu/10853239
「B站」QQ飞车•手游,https://live.iill.top/bilibili/21743919
「斗鱼」QQ飞车•手游,https://live.iill.top/douyu/5040227
「斗鱼」梦幻西游·手游,https://live.iill.top/huya/9163712
「斗鱼」街霸,https://live.iill.top/huya/11437
「B站」JJ斗地主,https://live.iill.top/bilibili/22021983
「斗鱼」JJ斗地主,https://live.iill.top/douyu/488743
「斗鱼」我的世界,https://live.iill.top/douyu/738878
「斗鱼」FIFA,https://live.iill.top/douyu/7692166
「斗鱼」火影忍者,https://live.iill.top/douyu/1997723
「斗鱼」跑跑卡丁车,https://live.iill.top/douyu/7722576
「斗鱼」跑跑卡丁车•手游,https://live.iill.top/douyu/6672862
